# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.88230251460503,0.5427673355346723,84.26938557324473,0,2.0,-0.3815841588420227,90.0,0.0,0.0
 0.041302650632604285,1.882472852029465,0.5444647189636791,84.26938557324473,0.08260530126520856,1.9999999999999996,-0.3815841588420227,90.0,-2.1561743394995707,0.0
 0.0588781245230488,1.8826498215697238,0.546216527426976,84.23148978743761,0.11775624904609759,2.0,-0.34383195476920936,90.0,-2.5527563556694326,0.0
 0.07267612226132202,1.882833375128271,0.5480224082092977,84.19626686101572,0.14535224452264403,2.000000000000001,-0.3107816594184925,90.0,-2.7593762254620886,0.0
 0.08456423248730878,1.88302346460757,0.5498820085953784,84.16346309229247,0.1691284649746176,2.000000000000002,-0.28172257998918215,90.0,-2.8620437548498208,0.0
 0.09525833480083609,1.8832200419100849,0.551794975869953,84.1328561035523,0.19051666960167218,1.9999999999999973,-0.2560692124326223,90.0,-2.9002017630112626,0.0
 0.10512176879378747,1.8834230589382788,0.5537609573177558,84.1042501548966,0.21024353758757497,2.0000000000000027,-0.2333362439071769,90.0,-2.896055207095707,0.0
 0.11436809810141513,1.8836324675946161,0.5557796002235218,84.07747227475872,0.22873619620283028,2.0,-0.21311908306693067,90.0,-2.863417941542654,1.6209714205807928e-12
 0.12313497365194782,1.8838482197815603,0.5578505518719851,84.05236904601607,0.24626994730389568,2.0,-0.1950786254943858,90.00000000000001,-2.8114013613172113,-1.6954044132774494e-12
 0.13151695886085174,1.8840702674015757,0.5599734595478804,84.02880392138923,0.26303391772170354,2.000000000000003,-0.1789291973246145,90.0,-2.746245057499191,0.0
 0.13958213565129948,1.8842985623571256,0.5621479705359423,84.00665496949058,0.279164271302599,2.0,-0.16442897606474574,90.0,-2.6723313415100103,0.0
 0.14738131702966736,1.884533056550674,0.5643737321209055,83.98581297265507,0.2947626340593348,2.0,-0.15137233624917326,90.0,-2.5927916427121662,0.0
 0.15495352523584566,1.8847737018846846,0.5666503915875045,83.96617981450119,0.30990705047169137,2.0,-0.1395836766639396,90.0,-2.5098894292119494,0.0
 0.1623294309432384,1.8850204502616217,0.5689775962204737,83.94766710673535,0.3246588618864769,2.0000000000000075,-0.12891242175982975,90.0,-2.425272119136169,1.9725852062889716e-12
 0.16953360882609747,1.885273253583948,0.5713549933045479,83.93019501497476,0.33906721765219505,2.0,-0.11922896024148051,90.00000000000001,-2.3401422055174126,-2.0150203286311757e-12
 0.17658607103368998,1.8855320637541286,0.5737822301244615,83.91369125050996,0.35317214206738007,2.0,-0.11042131088209327,90.0,-2.2553763872293056,0.0
 0.18350334165810392,1.8857968326746262,0.5762589539649493,83.89809020167958,0.36700668331620795,2.0,-0.10239238252202205,90.0,-2.171610324852471,0.0
 0.19029922915379555,1.8860675122479056,0.5787848121107455,83.88333218222739,0.3805984583075912,2.0,-0.0950577182718762,90.0,-2.0892997903898705,0.0
 0.19698539402964715,1.8863440543764296,0.5813594518465851,83.86936277935376,0.3939707880592944,2.0,-0.08834362073542933,90.0,-2.008765570559018,-2.1576122821361427e-12
 0.20357177418369993,1.8866264109626627,0.5839825204572022,83.8561322856657,0.40714354836739997,2.0,-0.08218557128778822,89.99999999999999,-1.930226647066251,2.187922974107557e-12
 0.21006690901402847,1.8869145339090687,0.5866536652273319,83.8435952033399,0.42013381802805705,2.0,-0.07652693724745627,90.0,-1.8538250937004794,0.0
 0.2164781901231974,1.887208375118111,0.5893725334417084,83.83170980953696,0.432956380246395,2.0000000000000084,-0.07131785924320028,90.0,-1.7796448222718428,0.0
 0.22281205785051686,1.8875078864922539,0.5921387723850661,83.82043777463109,0.4456241157010339,2.0,-0.06651432890248507,90.0,-1.7077258094458618,0.0
 0.22907415719671978,1.887813019933961,0.5949520293421401,83.80974382595626,0.4581483143934397,2.0,-0.062077398331245995,90.0,-1.6380749854782244,2.293810095260607e-12
 0.23526946287811162,1.8881237273456957,0.5978119515976645,83.79959545069218,0.4705389257562234,2.0,-0.05797252804132644,90.00000000000001,-1.5706745604126153,-2.3171441932784264e-12
 0.24140238061211577,1.8884399606299223,0.6007181864363743,83.78996263282626,0.4828047612242317,2.0,-0.05416899297559208,90.0,-1.5054884373942161,-2.339447424152049e-12
 0.24747682988953557,1.8887616716891042,0.6036703811430038,83.78081761967559,0.4949536597790713,2.0,-0.05063940750422313,89.99999999999999,-1.4424671681881491,0.0
 0.2534963121739511,1.8890888124257057,0.6066681830022874,83.77213471411082,0.5069926243479023,1.9999999999999907,-0.04735932879076041,89.99999999999999,-1.3815517647413984,4.76262582027435e-12
 0.259463967518491,1.8894213347421904,0.60971123929896,83.7638900893382,0.5189279350369821,2.0,-0.04430685608670246,90.00000000000001,-1.322676658249889,-2.401027972350873e-12
 0.2653826218943865,1.889759190541022,0.612799197317756,83.75606162334695,0.5307652437887731,2.0,-0.041462370907760546,90.0,-1.2657719771114615,0.0
 0.2712548270097972,1.8901023317246644,0.6159317043434102,83.74862875066802,0.5425096540195945,2.0,-0.03880822292687005,90.0,-1.210765299896172,0.0
 0.27708289401051334,1.8904507101955814,0.6191084076606568,83.74157232937807,0.5541657880210268,2.0,-0.03632853698701429,90.0,-1.1575830011102428,0.0
 0.2828689221609537,1.8908042778562368,0.6223289545542305,83.73487452154718,0.5657378443219077,2.000000000000019,-0.03400898277805682,90.0,-1.1061512850859105,0.0
