# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.857251714503429,0.45807177328640375,0.009690539185410234,0,1.0,0.02778747072142219,0.0,0.0,0.0
 0.15548435574149724,1.8693394067707156,0.4580738176997565,0.009690539185410234,0.15548435574149727,1.0000000000000002,0.02778747072142219,0.0,0.29731647783939796,0.0
 0.22068001783940397,1.8816015478886066,0.45808004002546043,0.029074283810767394,0.220680017839404,1.0,0.027505757242560807,0.0,0.3849254169318396,0.0
 0.2712379989638942,1.8940367343311486,0.45809057389198427,0.048535335774343887,0.2712379989638943,1.0000000000000004,0.027239526580702923,0.0,0.4538159318986674,0.0
 0.31429878517428,1.906643562572388,0.4581055529277964,0.0680770065966994,0.31429878517428006,1.0,0.026987886647072634,0.0,0.5121872071526853,0.0
 0.3526157814493289,1.9194206290863722,0.4581251107613656,0.08770248190529654,0.352615781449329,1.0,0.026750018115994995,0.0,0.56354769373924,0.0
 0.38759481078720925,1.9323665303471476,0.4581493810211603,0.10741483321789623,0.38759481078720925,0.9999999999999984,0.026525168095855645,0.0,0.6098160746620983,0.0
 0.42006721719387863,1.9454798628287606,0.45817849733564914,0.12721702862764372,0.42006721719387863,1.0,0.026312643061169892,0.0,0.6521864825659099,0.0
 0.4505721638744662,1.9587592230052582,0.4582125933333007,0.14711194250411674,0.4505721638744662,1.0,0.026111803260020442,0.0,0.6914655357808629,0.0
 0.4794823853937467,1.9722032073506874,0.45825180264258364,0.16710236431648948,0.4794823853937467,1.0,0.025922059444328373,0.0,0.728230053515713,0.0
 0.5070679571051658,1.9858104123390945,0.45829625889196646,0.18719100668015776,0.5070679571051658,1.0,0.025742864782011553,0.0,0.7629102653982849,0.0
 0.5335317588643351,1.9995794344445261,0.45834609570991774,0.2073805127036932,0.5335317588643351,1.0,0.025573714775161575,0.0,0.7958376450517924,0.0
 0.5590306154906124,2.0135088701410293,0.4584014467249062,0.227673462712663,0.5590306154906124,1.0,0.025414141382964488,0.0,0.8272742496600018,0.0
 0.5836886024970133,2.0275973159026504,0.4584624455654002,0.24807238041150936,0.5836886024970133,1.0,0.02526371018693423,0.0,0.8574316566104282,0.0
 0.6076057951718533,2.0418433682034367,0.4585292258598685,0.26857973854816825,0.6076057951718533,1.0,0.025122018002046848,0.0,0.8864836987391395,0.0
 0.6308642325270619,2.0562456235174342,0.4586019212367796,0.2891979641217062,0.6308642325270619,1.0,0.024988690140214945,0.0,0.9145753255689132,0.0
 0.6535321074247665,2.0708026783186906,0.45868066532460217,0.3099294431862297,0.6535321074247665,1.0,0.024863377764198672,0.0,0.9418289473344932,0.0
 0.675666787147073,2.0855131290812516,0.4587655917518047,0.33077652528867574,0.675666787147073,1.0,0.024745756549727972,0.0,0.9683490887181118,0.0
 0.6973170396545996,2.100375572279164,0.4588568341468558,0.35174152757485616,0.6973170396545996,1.0,0.02463552356599319,0.0,0.9942258751557647,0.0
 0.7185247063926163,2.1153886043864754,0.4589545261382241,0.3728267385974727,0.7185247063926163,1.0,0.024532396818342437,0.0,1.0195376926554696,0.0
 0.7393259807434377,2.130550821877232,0.45905880135437815,0.3940344218534025,0.7393259807434378,1.0000000000000053,0.024436113313374426,0.0,1.0443532499674197,0.0
 0.7597523998917919,2.14586082122548,0.4591697934237865,0.4153668190761829,0.7597523998917919,0.9999999999999946,0.024346426532311283,0.0,1.068733200436925,0.0
 0.7798316247391549,2.1613171989052664,0.45928763597491784,0.43682615330959784,0.7798316247391549,1.0,0.024263107245225714,0.0,1.0927314333284188,0.0
 0.7995880605900204,2.176918551390639,0.4594124626362407,0.458414631774375,0.7995880605900204,1.0,0.024185940855864424,0.0,1.1163961146281738,0.0
 0.8190433565196816,2.1926634751556433,0.4595444070362236,0.48013444855919013,0.8190433565196816,1.0,0.024114725781282834,0.0,1.1397705336214123,0.0
 0.8382168111208411,2.208550566674326,0.45968360280333526,0.5019877871413196,0.8382168111208411,1.0,0.024049275266825938,0.0,1.1628937985802739,0.0
 0.8571257051602915,2.224578422420734,0.4598301835660441,0.523976822757808,0.8571257051602915,1.0,0.023989412930063066,0.0,1.1858014131746213,0.0
 0.8757855765669662,2.2407456388689146,0.45998428295281885,0.5461037246414996,0.8757855765669662,1.0,0.02393497428330831,0.0,1.2085257574657435,0.0
 0.8942104494750337,2.2570508124929134,0.460146034592128,0.5683706581289318,0.8942104494750337,1.0,0.02388580535986966,0.0,1.2310964927529027,0.0
 0.9124130263339192,2.2734925397667785,0.4603155721124402,0.5907797866589709,0.9124130263339192,1.0,0.02384176225814485,0.0,1.2535409039171814,0.0
 0.9304048500836221,2.2900694171645557,0.460493029142224,0.6133332736652921,0.9304048500836221,1.0,0.023802709696771472,0.0,1.275884191154841,0.0
 0.9481964418815987,2.306780041160292,0.460678539309948,0.6360332843758106,0.9481964418815987,1.0,0.023768521456800088,0.0,1.298149719899688,0.0
 0.9657974187198122,2.3236230082280334,0.4608722362440808,0.6588819875282984,0.9657974187198122,1.0,0.02373907928456587,0.0,1.3203592357784733,0.0
 0.9832165943910144,2.3405969148418277,0.4610742535730909,0.6818815570054179,0.9832165943910144,1.0,0.023714272616285847,0.0,1.3425330509737246,0.0
 1.000462066583042,2.3577003574757214,0.46128472492544703,0.7050341734028631,1.000462066583042,1.0,0.023693998080261576,0.0,1.364690205771316,0.0
